Changed database context to 'adventureworks'.
Salesperson                                                                                                                                                                                                                                                      CustomerName                                                Phone                    
adventure-works\david8                                                                                                                                                                                                                                           Mr. Ferrier                                                 571-555-0128             
adventure-works\josé1                                                                                                                                                                                                                                            Ms. Alberts                                                 727-555-0115             
adventure-works\david8                                                                                                                                                                                                                                           Mr. Alcorn                                                  331-555-0162             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Alderson                                                968-555-0153             
adventure-works\linda3                                                                                                                                                                                                                                           Ms. Alexander                                               115-555-0175             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Jacobson                                                555-555-0162             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Allen                                                   447-555-0110             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Allison                                                 699-555-0155             
adventure-works\linda3                                                                                                                                                                                                                                           Mr. Alpuerto                                                855-555-0174             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Amland                                                  614-555-0134             
adventure-works\michael9                                                                                                                                                                                                                                         Ms. Antrim                                                  327-555-0148             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Johnston                                                883-555-0177             
adventure-works\linda3                                                                                                                                                                                                                                           Mr. Armstrong                                               226-555-0146             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Arthur                                                  149-555-0113             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Ashton                                                  556-555-0145             
adventure-works\linda3                                                                                                                                                                                                                                           Ms. Atkinson                                                129-555-0110             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Avalos                                                  665-555-0198             
adventure-works\michael9                                                                                                                                                                                                                                         Mr. Ayers                                                   818-555-0171             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Blanco                                                  221-555-0167             
adventure-works\linda3                                                                                                                                                                                                                                           Mr. Booth                                                   121-555-0157             
adventure-works\david8                                                                                                                                                                                                                                           Mr. Bailey                                                  234-555-0112             
adventure-works\michael9                                                                                                                                                                                                                                         Mr. Baldwin                                                 583-555-0130             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Banack                                                  640-555-0189             
adventure-works\michael9                                                                                                                                                                                                                                         Mr. Barker                                                  241-555-0112             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Barnhill                                                584-555-0192             
adventure-works\josé1                                                                                                                                                                                                                                             Barzdukas                                                  257-555-0119             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Beasley                                                 396-555-0187             
adventure-works\pamela0                                                                                                                                                                                                                                          Mr. Beaver                                                  521-555-0195             
adventure-works\jae0                                                                                                                                                                                                                                             Mr. Beck                                                    1 (11) 500 555-0132      
adventure-works\garrett1                                                                                                                                                                                                                                         Ms. Beebe                                                   277-555-0169             
adventure-works\david8                                                                                                                                                                                                                                           Mr. Alan                                                    156-555-0126             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Benson                                                  789-555-0189             
adventure-works\michael9                                                                                                                                                                                                                                         Mr. Benson                                                  528-555-0183             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Berger                                                  519-555-0151             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Berger                                                  156-555-0111             
adventure-works\david8                                                                                                                                                                                                                                           Mr. Bernacchi                                               449-555-0176             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Berndt                                                  384-555-0169             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Brown                                                   280-555-0124             
adventure-works\linda3                                                                                                                                                                                                                                           Mr. Bischoff                                                992-555-0111             
adventure-works\michael9                                                                                                                                                                                                                                         Ms. Black                                                   264-555-0143             
adventure-works\josé1                                                                                                                                                                                                                                            Ms. Blackwell                                               972-555-0163             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Blanton                                                 357-555-0161             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Burnett                                                 121-555-0121             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Blythe                                                  126-555-0172             
adventure-works\pamela0                                                                                                                                                                                                                                          Ms. Bockenkamp                                              763-555-0145             
adventure-works\linda3                                                                                                                                                                                                                                           Sr. Bonifaz                                                 688-555-0113             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Boseman                                                 383-555-0117             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Bowen                                                   371-555-0143             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Bowman                                                  844-555-0112             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Brandon                                                 229-555-0114             
adventure-works\david8                                                                                                                                                                                                                                           Mr. Bready                                                  340-555-0131             
adventure-works\pamela0                                                                                                                                                                                                                                          Mr. Bremer                                                  962-555-0166             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Brewer                                                  494-555-0134             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Brian                                                   163-555-0155             
adventure-works\david8                                                                                                                                                                                                                                           Mr. Bright                                                  162-555-0166             
adventure-works\jae0                                                                                                                                                                                                                                             Mr. Brooks                                                  1 (11) 500 555-0179      
adventure-works\pamela0                                                                                                                                                                                                                                          Mr. Brooks                                                  525-555-0174             
adventure-works\michael9                                                                                                                                                                                                                                         Mr. Brown                                                   689-555-0130             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Brown                                                   575-555-0189             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Browning                                                658-555-0146             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Brumfield                                               644-555-0114             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Brundage                                                128-555-0148             
adventure-works\david8                                                                                                                                                                                                                                           Ms. Bruner                                                  383-555-0155             
adventure-works\michael9                                                                                                                                                                                                                                         Ms. Brunner                                                 249-555-0172             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Bruno                                                   817-555-0114             
adventure-works\josé1                                                                                                                                                                                                                                            Sra. Bueno                                                  476-555-0184             
adventure-works\shu0                                                                                                                                                                                                                                             Ms. Burke                                                   148-555-0149             
adventure-works\david8                                                                                                                                                                                                                                           Ms. Burkhardt                                               652-555-0132             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Burnett                                                 251-555-0172             
adventure-works\pamela0                                                                                                                                                                                                                                          Mr. Bustamante                                              164-555-0147             
adventure-works\jae0                                                                                                                                                                                                                                             Mr. Byham                                                   1 (11) 500 555-0138      
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Calafato                                                726-555-0155             
adventure-works\jae0                                                                                                                                                                                                                                             Ms. Caldwell                                                1 (11) 500 555-0118      
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Calone                                                  145-555-0152             
adventure-works\pamela0                                                                                                                                                                                                                                          Ms. Camacho                                                 827-555-0143             
adventure-works\jae0                                                                                                                                                                                                                                             Sr. Camargo                                                 1 (11) 500 555-0118      
adventure-works\josé1                                                                                                                                                                                                                                            Ms. Campbell                                                700-555-0155             
adventure-works\david8                                                                                                                                                                                                                                           Mr. Campen                                                  635-555-0126             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Cannon                                                  118-555-0131             
adventure-works\josé1                                                                                                                                                                                                                                            Ms. Canuto                                                  990-555-0141             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Caprio                                                  112-555-0191             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Carlisle                                                193-555-0116             
adventure-works\shu0                                                                                                                                                                                                                                             Ms. Carmichael                                              716-555-0167             
adventure-works\david8                                                                                                                                                                                                                                           Ms. Carmody                                                 646-555-0137             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Caron                                                   620-555-0117             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Carothers                                               944-555-0148             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Carreras                                                279-555-0130             
adventure-works\linda3                                                                                                                                                                                                                                           Ms. Carroll                                                 244-555-0112             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Castellucio                                             180-555-0114             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Casts                                                   362-555-0162             
adventure-works\david8                                                                                                                                                                                                                                           Mr. Cavallari                                               695-555-0161             
adventure-works\jae0                                                                                                                                                                                                                                             Ms. Cavendish                                               1 (11) 500 555-0178      
adventure-works\pamela0                                                                                                                                                                                                                                          Mr. Cencini                                                 644-555-0111             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Cereghino                                               351-555-0131             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Chambers                                                127-555-0124             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Chandler                                                448-555-0179             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Chapla                                                  223-555-0184             
adventure-works\linda3                                                                                                                                                                                                                                           Mr. Chow                                                    789-555-0184             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Cheng                                                   344-555-0181             
adventure-works\michael9                                                                                                                                                                                                                                         Ms. Chesnut                                                 264-555-0164             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Choin                                                   273-555-0181             
adventure-works\linda3                                                                                                                                                                                                                                           Mr. Chor                                                    429-555-0145             
adventure-works\linda3                                                                                                                                                                                                                                           Ms. Christie                                                927-555-0198             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Clark                                                   221-555-0141             
adventure-works\garrett1                                                                                                                                                                                                                                         Ms. Clayton                                                 206-555-0195             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Coffman                                                 426-555-0181             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Coleman                                                 292-555-0128             
adventure-works\linda3                                                                                                                                                                                                                                           Mr. Colon                                                   397-555-0144             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Colvin                                                  119-555-0144             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Conner                                                  383-555-0111             
adventure-works\josé1                                                                                                                                                                                                                                            Ms. Contreras                                               428-555-0176             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Cooper                                                  773-555-0182             
adventure-works\david8                                                                                                                                                                                                                                           Ms. Corets                                                  542-555-0164             
adventure-works\michael9                                                                                                                                                                                                                                         Mr. Coriell                                                 941-555-0155             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Creasey                                                 539-555-0182             
adventure-works\michael9                                                                                                                                                                                                                                         Mr. Culbertson                                              859-555-0173             
adventure-works\david8                                                                                                                                                                                                                                           Mr. Culp                                                    119-555-0167             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Cunningham                                              115-555-0113             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. D'Hers                                                  680-555-0192             
adventure-works\david8                                                                                                                                                                                                                                           Ms. Davis                                                   839-555-0198             
adventure-works\shu0                                                                                                                                                                                                                                             Sr. De Matos Miranda Filho                                  551-555-0155             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Dean                                                    767-555-0151             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Deborde                                                 394-555-0176             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Delaney                                                 358-555-0188             
adventure-works\linda3                                                                                                                                                                                                                                           Mr. Delmarco                                                819-555-0186             
adventure-works\garrett1                                                                                                                                                                                                                                         Ms. Demott Jr                                               752-555-0185             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Desai                                                   138-555-0156             
adventure-works\pamela0                                                                                                                                                                                                                                          Ms. Desalvo                                                 143-555-0113             
adventure-works\shu0                                                                                                                                                                                                                                             Ms. Diaz                                                    147-555-0192             
adventure-works\josé1                                                                                                                                                                                                                                            Ms. Dickmann                                                835-555-0116             
adventure-works\jae0                                                                                                                                                                                                                                             Mr. Dievendorff                                             1 (11) 500 555-0193      
